Rank,Team,Model Organization,Model,Dataset,N dataset,Dataset 95% CI,Market,N market,Market 95% CI,Overall,N,Overall 95% CI,Supers > Forecaster?,p-val Supers > Forecaster?,Forecaster > Public?,p-val Forecaster > Public?,Pct times № 1,Pct times top 5%,Peer,BSS,Brier Dataset,Brier Market,Brier Overall
105,ForecastBench,Meta,llama-3-70b-chat-hf-scratchpad,54.1,1384,"[53.4, 54.8]",54.1,123,"[51.7, 56.7]",54.1,1507,"[52.8, 55.5]",Yes,<0.001,No,1.00,0.0,0.0,0.008,-0.028,0.211,0.211,0.211
106,ForecastBench,Anthropic,claude-2.1,52.8,1384,"[52.2, 53.4]",54.9,123,"[51.9, 58.1]",53.9,1507,"[52.3, 55.4]",Yes,<0.001,No,1.00,0.0,0.0,0.006,-0.03,0.223,0.203,0.213
107,ForecastBench,Google DeepMind,gemini-1.5-flash,53.8,1384,"[52.9, 54.8]",53.3,123,"[50.1, 56.7]",53.5,1507,"[51.9, 55.2]",Yes,<0.001,No,1.00,0.0,0.0,0.003,-0.033,0.214,0.218,0.216
108,ForecastBench,Anthropic,claude-3-haiku-20240307,51.1,7068,"[50.7, 51.6]",54.9,508,"[53.7, 56.1]",53.0,7576,"[52.3, 53.6]",Yes,<0.001,No,1.00,0.0,0.0,-0.007,-0.041,0.239,0.204,0.221
109,ForecastBench,Meta,llama-3-8b-chat-hf-scratchpad,50.9,1384,"[50.1, 51.7]",54.3,123,"[51.5, 57.5]",52.6,1507,"[51.1, 54.1]",Yes,<0.001,No,1.00,0.0,0.0,-0.006,-0.042,0.241,0.209,0.225
110,ForecastBench,Meta,llama-2-70b-chat-hf-scratchpad,50.1,1384,"[49.5, 50.8]",52.1,123,"[49.0, 55.6]",51.1,1507,"[49.5, 52.8]",Yes,<0.001,No,1.00,0.0,0.0,-0.02,-0.056,0.249,0.23,0.239
111,ForecastBench,Anthropic,claude-3-haiku-20240307-scratchpad,50.4,1384,"[49.5, 51.2]",51.0,123,"[48.1, 54.4]",50.7,1507,"[49.2, 52.4]",Yes,<0.001,No,1.00,0.0,0.0,-0.024,-0.06,0.246,0.24,0.243
112,ForecastBench,OpenAI,gpt-3.5-turbo-0125-scratchpad,48.6,1384,"[47.8, 49.4]",51.7,123,"[48.5, 55.3]",50.1,1507,"[48.5, 51.8]",Yes,<0.001,No,1.00,0.0,0.0,-0.03,-0.066,0.265,0.234,0.249
113,ForecastBench,ForecastBench,Always 0.5,50.0,29117,"[50.0, 50.0]",50.0,2690,"[50.0, 50.0]",50.0,31807,"[50.0, 50.0]",Yes,<0.001,No,1.00,0.0,0.0,-0.043,-0.078,0.25,0.25,0.25
114,ForecastBench,Meta,llama-2-70b-chat-hf,49.6,1384,"[48.7, 50.5]",42.9,123,"[39.2, 47.0]",46.2,1507,"[44.1, 48.3]",Yes,<0.001,No,1.00,0.0,0.0,-0.071,-0.107,0.254,0.326,0.29
115,ForecastBench,ForecastBench,Always 0,38.2,29117,"[37.8, 38.6]",55.3,2690,"[53.7, 56.8]",46.1,31807,"[45.4, 46.7]",Yes,<0.001,No,1.00,0.0,0.0,-0.084,-0.118,0.382,0.2,0.291
116,ForecastBench,ForecastBench,Random Uniform,42.2,29117,"[41.9, 42.5]",42.1,2690,"[41.1, 43.0]",42.1,31807,"[41.6, 42.6]",Yes,<0.001,No,1.00,0.0,0.0,-0.128,-0.163,0.334,0.336,0.335
117,ForecastBench,OpenAI,gpt-3.5-turbo-0125,35.1,1384,"[34.2, 36.1]",48.3,123,"[44.0, 52.9]",41.4,1507,"[39.4, 43.4]",Yes,<0.001,No,1.00,0.0,0.0,-0.125,-0.161,0.421,0.267,0.344
118,ForecastBench,ForecastBench,Always 1,21.4,29117,"[21.1, 21.7]",10.6,2690,"[9.8, 11.4]",15.8,31807,"[15.4, 16.2]",Yes,<0.001,No,1.00,0.0,0.0,-0.502,-0.537,0.618,0.8,0.709
